claim_text,predicted_winner,scope,state,source_type,hedged,attributed_to,page_id,source,arm,window,window_kind,cycle,newspaper_title,lccn,date,publisher_state,predicted_norm,correct
Senator Burrows confident; says Republicans will carry Michigan,Republican,state,Michigan,correspondent_analysis,False,Senator Burrows,https://www.nytimes.com/1900/09/06/archives/senator-burrows-confident-says-republicans-will-carry-michigan.html,nyt,elections,1900,,1900,The New York Times,,1900-09-06,,Republican,
Republicans hope to carry North Carolina in the upcoming election.,Republican,state,North Carolina,correspondent_analysis,True,Senator Pritchard,https://www.nytimes.com/1900/09/08/archives/republicans-hope-to-carry-north-carolina-senator-pritchard-counts.html,nyt,elections,1900,,1900,The New York Times,,1900-09-08,,Republican,
Sulzer predicts Judge Parker will be elected by an overwhelming majority.,Parker,national,,correspondent_analysis,False,Sulzer,https://www.nytimes.com/1904/09/08/archives/sulzer-reports-to-parker-predicts-the-judge-will-be-elected-by-an.html,nyt,elections,1904,,1904,The New York Times,,1904-09-08,,Parker,False
State Committee Chairman predicts sweeping victory for Republicans in Maine.,Republican,state,Maine,editorial_opinion,False,State Committee Chairman,https://www.nytimes.com/1904/09/11/archives/maine-republicans-sanguine-state-committee-chairman-predicts.html,nyt,elections,1904,,1904,The New York Times,,1904-09-11,,Republican,
Ridder sees a victory and tells Bryan that the German vote will be for him.,Bryan,national,,correspondent_analysis,False,Ridder,https://www.nytimes.com/1908/09/05/archives/ridder-sees-a-victory-tells-bryan-that-the-german-vote-will-be-for.html,nyt,elections,1908,,1908,The New York Times,,1908-09-05,,Bryan,False
"Ex-Senator Smith says Bryan can win; Republicans in the Middle West are demoralized and New Jersey is doubtful, with industrial conditions expected to aid Democrats.",Bryan,national,,correspondent_analysis,True,Ex-Senator Smith,https://www.nytimes.com/1908/09/06/archives/exsenator-smith-says-bryan-can-win-just-back-from-visit-to-middle.html,nyt,elections,1908,,1908,The New York Times,,1908-09-06,,Bryan,False
Republicans will probably retain their present majority in Congress; a landslide is the only hope for Democrats.,Republican,national,,editorial_opinion,True,,https://www.nytimes.com/1908/11/01/archives/democrats-unlikely-to-sway-congress-figures-show-republicans-will.html,nyt,elections,1908,,1908,The New York Times,,1908-11-01,,Republican,True
Folk sees Wilson victory but warns Democrats not to be too confident.,Wilson,national,,correspondent_analysis,True,Folk,https://www.nytimes.com/1912/09/02/archives/folk-sees-wilson-victory-exgovernor-warns-democrats-though-not-to.html,nyt,elections,1912,,1912,The New York Times,,1912-09-02,,Wilson,True
Politicians predict Wilson will carry the state of Maine.,Wilson,state,Maine,editorial_opinion,True,politicians,https://www.nytimes.com/1912/09/02/archives/await-the-smash-in-maine-politicians-predict-wilson-will-carry-the.html,nyt,elections,1912,,1912,The New York Times,,1912-09-02,,Wilson,
Landslide in Bay State; Republicans will be satisfied if they save the legislature.,Republican,state,Massachusetts,editorial_opinion,True,,https://www.nytimes.com/1912/11/03/archives/landslide-in-bay-state-republicans-will-be-satisfied-if-they-save.html,nyt,elections,1912,,1912,The New York Times,,1912-11-03,,Republican,
