quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis,ip_growth_6m,ip_growth_12m,ip_accel,ip_gap,cpi_yoy,cpi_accel,unrate,unrate_d6,stock_ret6,stock_ret12,stock_vol6,stock_drawdown,epu,hindsight_in_recession,has_ip_growth_6m,has_ip_growth_12m,has_ip_accel,has_ip_gap,has_cpi_yoy,has_cpi_accel,has_unrate,has_unrate_d6,has_stock_ret6,has_stock_ret12,has_stock_vol6,has_stock_drawdown,has_epu
It has been expected that the election of Dix in New York m Tuesday next will change the situation mightily and from the recent remarks made by the president of the National Copper Bank re garding conditions generally it is apparent that the tide is about to turn.,general_business,improve,na,na,vague,hedged,journalist,na,national,False,election of Dix,/service/ndnp/uuml/batch_uuml_fignon_ver01/data/2010218519/00237285505/1910110501/1065.xml,1910-11-05,"goodwin's weekly : a thinking paper for thinking people (salt lake city, utah) 1902-1929",full_page,improve,worsen,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,117.1082,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Every sign points to an unusually prosperous year, not only In tho United States, but throughout the world,",general_business,improve,na,na,12,assertive,expert,Charles M. Schwab,national,True,na,/service/ndnp/nbu/batch_nbu_ford_ver02/data/2010270500/00211102639/1911022401/0831.xml,1911-02-24,"dakota county herald (dakota city, neb.) 1891-1965",full_page,improve,worsen,NBER,0.0,True,,12.0,stated,,,,,,,,,,,,,104.9809,1,0,0,0,0,0,0,0,0,0,0,0,0,1
The man who looks for a long perod of business depression is cu te as fool- ish as tre one who thought war profits could last forever.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_ford_ver02/data/2010270501/00211102688/1921031501/0274.xml,1921-03-15,"the alliance herald (alliance, box butte county, neb.) 1902-1922",full_page,improve,improve,INDPRO,1.0,True,,12.0,default,-24.48937057107128,-29.18673039677322,4.697359825701941,,-1.5544041450777237,-15.75328816261459,,,-13.236994219653182,-23.379275140377747,4.52805007040762,-34.10886742756805,93.09138,1,1,1,1,0,1,1,0,0,1,1,1,1,1
"‘•The creation of Jobs for nearly 1,000,000 men, and the building pro gram which would reach $25,000,000 at the same ratio If applied to all posts thrown quickly into the revival of business can easily be a turning force for the revival of good times.",general_business,improve,na,down,vague,hedged,official,Ralph T. O'Neil,national,True,if applied to all posts,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930111301/1005.xml,1930-11-13,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default,-12.991987835545943,-23.79305929056218,10.801071455016237,-14.698224246892325,-4.04624277456647,0.49594691657833767,,,-32.15223097112861,-20.70552147239264,4.059543040469847,-50.06209465985926,105.1302,1,1,1,1,1,1,1,0,0,1,1,1,1,1
What the public spends now is likely tc return.,general_business,improve,na,na,vague,hedged,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930121101/1042.xml,1930-12-11,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default,-14.682346699677272,-24.561197763965446,9.878851064288174,-16.788914915684824,-4.624277456647403,-1.2580754845290683,,,-29.200082253752825,-30.360032362459542,4.086663967034211,-52.49068580102111,85.87639,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"Money In a tin can never did anybody any good, but put In motion will stimulate business, and a dollar now buys more than It has for a good while.",general_business,improve,na,na,vague,assertive,journalist,na,national,False,money is put in motion,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527677/1930121101/1042.xml,1930-12-11,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default,-14.682346699677272,-24.561197763965446,9.878851064288174,-16.788914915684824,-4.624277456647403,-1.2580754845290683,,,-29.200082253752825,-30.360032362459542,4.086663967034211,-52.49068580102111,85.87639,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"Because various manufacturers will be in the market for vast quantities of raw materials to fill orders, and civilian demand for essential goods, food and many services will far exceed supply, maintenance of price control in the immediate postwar period will be required for curbing runaway prices, Bowles said.",prices,worsen,up,na,vague,assertive,official,Chester Bowles,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945080901/0049.xml,1945-08-09,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,up,flat,CPI,0.0,True,,6.0,inferred_short,-8.468866241267728,-8.76629248706849,0.2974262458007626,-2.3799175324090034,2.840909090909091,0.5298774259448495,,,6.887332908975171,14.285714285714272,1.820464206839302,0.0,207.7068,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"If the Japanese war should, by any chance, end suddenly—before another year—it would mean that reconversion, threats of inflation and unemployment and a hundred other problems will be upon us",general_business,worsen,up,up,12,assertive,journalist,Baukhage,national,False,Japanese war ends suddenly,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945080901/0049.xml,1945-08-09,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,stated,-8.468866241267728,-8.76629248706849,0.2974262458007626,-2.3799175324090034,2.840909090909091,0.5298774259448495,,,6.887332908975171,14.285714285714272,1.820464206839302,0.0,207.7068,1,1,1,1,1,1,1,0,0,1,1,1,1,1
an early end of rationing was expected with OPA's revelation that it would reduce meat point values in view of military cutbacks in orders and a prospective heavy fall run of cattle,general_business,improve,na,na,6,hedged,official,OPA,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
unofficial predictions that rationing of cords would be terminated within 90 days were strengthened.,general_business,improve,na,na,6,hedged,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
