quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,reasoning,current_state,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis,ip_growth_6m,ip_growth_12m,ip_accel,ip_gap,cpi_yoy,cpi_accel,unrate,unrate_d6,stock_ret6,stock_ret12,stock_vol6,stock_drawdown,epu,hindsight_in_recession,has_ip_growth_6m,has_ip_growth_12m,has_ip_accel,has_ip_gap,has_cpi_yoy,has_cpi_accel,has_unrate,has_unrate_d6,has_stock_ret6,has_stock_ret12,has_stock_vol6,has_stock_drawdown,has_epu
"The bilí, if passed, establishes free trade between the United States and the Island. The Chairman of the Committee ot Ways* and Means has declared that lie is satisfied that free trade will not inju re the industrial interests of the United States.",general_business,improve,na,na,vague,assertive,expert,Chairman of the Committee of Ways and Means,national,True,if passed,free trade will not injure industry,na,/service/ndnp/prru/batch_prru_caridad_ver03/data/sn91099739/0041418022A/1900012001/0069.xml,1900-01-20,"boletín mercantil de puerto rico (san juan, p.r.) 18??-1918",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,188.8426,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rates for time loans show a hardening tendency, which may continue for some weeks to come.",markets,worsen,up,na,vague,hedged,expert,Clews,national,True,na,hardening tendency,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900022601/0653.xml,1900-02-26,"the morning news (savannah, ga.) 1887-1900",full_page,worsen,improve,NBER,0.0,True,,6.0,inferred_short,,,,,,,,,,,,,163.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The indications for the future are very bright in every section of the country, and 31*00 promises to eclipse all previous years in point of prosperity.",general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/vi/batch_vi_albion_ver01/data/sn85034438/00100480372/1900032001/0620.xml,1900-03-20,"the times (richmond, va.) 1890-1903",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,224.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
has been enacted into a ;aw which will ensure the stabilty of our currency and the future prosperity to the labor anl business of the countr‘.,other,improve,na,na,vague,assertive,expert,Senator George Peabody Wetmore,national,True,na,law enacted,good,/service/ndnp/rp/batch_rp_firefriend_ver01/data/sn91070630/00514152949/1900033101/0010.xml,1900-03-31,the providence news (providence [r.i.]) 1891-1906,full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,224.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The effect of the bill upon toe money market will be felt gradually; the first result being the Increase of circula tion from 90 to 100 per cent, of par value of bonds.",markets,improve,na,na,vague,assertive,expert,na,national,False,na,bill increases money supply,bad,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900031901/0893.xml,1900-03-19,"the morning news (savannah, ga.) 1887-1900",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,224.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"it wi.l be some time before ihe'hmo-unt of new circulation reaches $100,000,000, If it over touches that increase, under present condi tions.",markets,improve,na,na,vague,assertive,expert,na,national,False,na,new circulation expands money supply,bad,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900031901/0893.xml,1900-03-19,"the morning news (savannah, ga.) 1887-1900",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,224.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alvah Trowbridge President of the North American Trust Company and Vice President of the American Bankers'-Association in an interview to-day-said that the outlook for business dur ing the remainder of the current year could not be brighter,general_business,improve,na,na,vague,assertive,expert,Alvah Trowbridge,national,True,na,na,bad,/service/ndnp/kyu/batch_kyu_aussie_ver01/data/sn83045188/print/1900032601/0319.xml,1900-03-26,the courier-journal (louisville [ky.]) 1869-current,full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,224.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
prospects for a still better one next Saturday are so good that borrowers are in good spirits,general_business,improve,na,na,6,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/kyu/batch_kyu_aussie_ver01/data/sn83045188/print/1900032601/0319.xml,1900-03-26,the courier-journal (louisville [ky.]) 1869-current,full_page,improve,improve,NBER,1.0,True,,6.0,stated,,,,,,,,,,,,,224.7651,0,0,0,0,0,0,0,0,0,0,0,0,0,1
new transactions do not yet give assurance that it will hold at the same rate.,general_business,worsen,na,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/pst/batch_pst_irvin_ver01/data/sn83032011/00280776877/1900022201/0943.xml,1900-02-22,"the columbian (bloomsburg, pa.) 1866-1910",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,163.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Circumstances do not yet promise its speedy ending, and in some other branches of industry prosperity and advancing prices seem to have rendered controversies more frequent.",other,worsen,up,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/pst/batch_pst_irvin_ver01/data/sn83032011/00280776877/1900022201/0943.xml,1900-02-22,"the columbian (bloomsburg, pa.) 1866-1910",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,163.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,1
