quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,reasoning,current_state,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis
"if the cattlemen are persecuted farther, and driven from the territory, as matters now stand, the last nail in the coffin of the Indian Territory should and would be driven up and clinched",general_business,worsen,na,na,vague,assertive,layperson,na,regional,False,cattlemen persecuted farther,as matters now stand,bad,/service/ndnp/okhi/batch_okhi_icecream_ver01/data/sn93050700/00295864771/1900012601/0304.xml,1900-01-26,"the daily chieftain (vinita, ind. ter. [okla.]) 1898-1902",full_page,worsen,,,,False,scope=regional (not US national),,
"All interests should pool and ask congress to ratify the Cherokee and Creek treaties at once, to the nd that business in the tenitory may be revived as speedily as possible.",general_business,improve,na,na,vague,hedged,layperson,na,regional,False,congress ratify treaties,ratify treaties will revive business,bad,/service/ndnp/okhi/batch_okhi_icecream_ver01/data/sn93050700/00295864771/1900012601/0304.xml,1900-01-26,"the daily chieftain (vinita, ind. ter. [okla.]) 1898-1902",full_page,improve,,,,False,scope=regional (not US national),,
He says that his machine will save half the crop clear to the producer and that its manufacture will revive the industry all over southern Kansas and Oklahoma.,industry,improve,na,na,vague,assertive,expert,Mr. Poole,regional,True,na,machine saves labor,bad,/service/ndnp/khi/batch_khi_kurtis_ver01/data/sn82014635/00280760705/1900010401/0279.xml,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",full_page,improve,,,,False,scope=regional (not US national),,
He is confident that one completed machine at work in the fields will attract any amount of capital to its manufacture.,general_business,improve,na,na,vague,assertive,expert,Mr. Poole,industry,True,na,machine will draw investment,bad,/service/ndnp/khi/batch_khi_kurtis_ver01/data/sn82014635/00280760705/1900010401/0279.xml,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",full_page,improve,,,,False,scope=industry (not US national),,
"Mr. Poole says that the broom corn harvester is about a $700 machine and that If its practicability were demonstrated the demand for it would require the employment of 1,000 men in the manufacture.",employment,improve,na,down,vague,assertive,expert,Mr. Poole,industry,True,if practicability demonstrated,demand if practicable,bad,/service/ndnp/khi/batch_khi_kurtis_ver01/data/sn82014635/00280760705/1900010401/0279.xml,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",full_page,down,,,,False,scope=industry (not US national),,
He has predicted that the price of Manila hemp would break within a week.,prices,worsen,down,na,vague,assertive,expert,representative of the American Manufacturing company,foreign,True,na,ports opening,bad,/service/ndnp/khi/batch_khi_kurtis_ver01/data/sn82014635/00280760705/1900010401/0279.xml,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",full_page,down,,,,False,scope=foreign (not US national),,
Just as soon as the ports are opened the price of Manila hemp will drop to 10c.,prices,improve,down,na,vague,assertive,expert,representative of the American Manufacturing company,foreign,True,ports opened,ports opened,bad,/service/ndnp/khi/batch_khi_kurtis_ver01/data/sn82014635/00280760705/1900010401/0279.xml,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",full_page,down,,,,False,scope=foreign (not US national),,
The price of binding twine will tumble long before harvest.,prices,improve,down,na,vague,assertive,expert,representative of the American Manufacturing company,industry,True,na,ports opening,bad,/service/ndnp/khi/batch_khi_kurtis_ver01/data/sn82014635/00280760705/1900010401/0279.xml,1900-01-04,"the wichita daily eagle (wichita, kan.) 1890-1906",full_page,down,,,,False,scope=industry (not US national),,
"General businesi is thor oughly safe as well as prosperous, ... the least cinguine busi ness man has felt tho signs favorable for a good year in 1200.",general_business,improve,na,na,vague,assertive,expert,G. Dunn,regional,True,na,unprecedented prosperity,prosperous,/service/ndnp/az/batch_az_eagle_ver01/data/sn95060905/00211106505/1900011401/0007.xml,1900-01-14,"tombstone epitaph (tombstone, ariz.) 1887-current",full_page,improve,,,,False,scope=regional (not US national),,
"The bilí, if passed, establishes free trade between the United States and the Island. The Chairman of the Committee ot Ways* and Means has declared that lie is satisfied that free trade will not inju re the industrial interests of the United States.",general_business,improve,na,na,vague,assertive,expert,Chairman of the Committee of Ways and Means,national,True,if passed,free trade will not injure industry,na,/service/ndnp/prru/batch_prru_caridad_ver03/data/sn91099739/0041418022A/1900012001/0069.xml,1900-01-20,"boletín mercantil de puerto rico (san juan, p.r.) 18??-1918",full_page,improve,improve,NBER,1.0,True,,12.0,default
